%OpenBCI Raw EXG Data
%Number of channels = 8
%Sample Rate = 250 Hz
%Board = OpenBCI_GUI$BoardCytonSerial
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
139.0, 40357.14749779076, 18773.47603720141, -187500.02235174447, -187500.02235174447, 29407.76549670285, -187500.02235174447, 10889.166401525308, -104149.16028370385, -0.182, 0.98, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194565E9, 0.0, 2023-09-30 16:29:20.194
140.0, 40442.084126720925, 18803.58383698271, -187500.02235174447, -187500.02235174447, 29397.796618675784, -187500.02235174447, 10865.697069847236, -104241.74120923772, -0.192, 0.988, -0.004, 192.0, 250.0, 0.0, 30.0, 224.0, 255.0, 224.0, 0.0, 0.0, 0.0, 1.6961093601945896E9, 0.0, 2023-09-30 16:29:20.194
141.0, 40432.13760043831, 18790.262197287346, -187500.02235174447, -187500.02235174447, 29438.00740695088, -187500.02235174447, 10949.605518532459, -104085.34605328394, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946008E9, 0.0, 2023-09-30 16:29:20.194
142.0, 40417.050172930976, 18781.679127416508, -187500.02235174447, -187500.02235174447, 29479.335782448743, -187500.02235174447, 11008.770586105657, -103955.70593544317, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946118E9, 0.0, 2023-09-30 16:29:20.194
143.0, 40391.323315062924, 18780.114505304635, -187500.02235174447, -187500.02235174447, 29420.126011386637, -187500.02235174447, 10914.088596592976, -104170.0368130251, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946228E9, 0.0, 2023-09-30 16:29:20.194
144.0, 40436.16091444027, 18784.942482106984, -187500.02235174447, -187500.02235174447, 29417.712022985463, -187500.02235174447, 10885.791288112556, -104282.2202184463, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946335E9, 0.0, 2023-09-30 16:29:20.194
145.0, 40419.28534737651, 18782.863769872638, -187500.02235174447, -187500.02235174447, 29448.982113478436, -187500.02235174447, 10952.891224967389, -104142.61122257845, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946447E9, 0.0, 2023-09-30 16:29:20.194
146.0, 40391.591535996384, 18793.771421166828, -187500.02235174447, -187500.02235174447, 29458.503956616398, -187500.02235174447, 10990.263341696662, -104030.33841017944, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946568E9, 0.0, 2023-09-30 16:29:20.194
147.0, 40369.84328864137, 18771.464380200432, -187500.02235174447, -187500.02235174447, 29398.936557643006, -187500.02235174447, 10904.767919155112, -104218.69656070431, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946695E9, 0.0, 2023-09-30 16:29:20.194
148.0, 40399.571108766926, 18773.185464523493, -187500.02235174447, -187500.02235174447, 29389.95115637197, -187500.02235174447, 10867.664023359303, -104362.12770487402, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946805E9, 0.0, 2023-09-30 16:29:20.194
149.0, 40398.92290817772, 18785.300110018266, -187500.02235174447, -187500.02235174447, 29427.16681089006, -187500.02235174447, 10932.662896235335, -104246.72564825126, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601946924E9, 0.0, 2023-09-30 16:29:20.194
150.0, 40368.882163629794, 18788.67522343102, -187500.02235174447, -187500.02235174447, 29459.17450895006, -187500.02235174447, 11015.297295486605, -104066.4141257303, -0.192, 0.988, -0.004, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.696109360194703E9, 0.0, 2023-09-30 16:29:20.194
151.0, 40327.64319510975, 18775.308880246746, -187500.02235174447, -187500.02235174447, 29425.69159575601, -187500.02235174447, 10969.83384726451, -104153.51887387263, -0.184, 0.978, -0.01, 192.0, 250.0, 64.0, 30.0, 144.0, 255.0, 176.0, 0.0, 0.0, 0.0, 1.6961093601947148E9, 0.0, 2023-09-30 16:29:20.194
152.0, 40365.81997463942, 18789.70340367596, -187500.02235174447, -187500.02235174447, 29400.903511155073, -187500.02235174447, 10897.72711965169, -104345.74387618827, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601947258E9, 0.0, 2023-09-30 16:29:20.194
153.0, 40416.066696174945, 18799.493467747387, -187500.02235174447, -187500.02235174447, 29429.983130691428, -187500.02235174447, 10947.057419664552, -104272.38545088595, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601947372E9, 0.0, 2023-09-30 16:29:20.194
154.0, 40402.8344634574, 18784.71896466243, -187500.02235174447, -187500.02235174447, 29470.015105010883, -187500.02235174447, 11020.259382755683, -104089.99521613064, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601947482E9, 0.0, 2023-09-30 16:29:20.194
155.0, 40355.69463440116, 18782.260272772346, -187500.02235174447, -187500.02235174447, 29438.25327613989, -187500.02235174447, 10972.31489089905, -104153.34005991698, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601947591E9, 0.0, 2023-09-30 16:29:20.194
156.0, 40375.67709394421, 18783.936653606495, -187500.02235174447, -187500.02235174447, 29368.202909016956, -187500.02235174447, 10896.631884173381, -104351.9353094024, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.69610936019477E9, 0.0, 2023-09-30 16:29:20.194
157.0, 40405.11434139185, 18795.559560723254, -187500.02235174447, -187500.02235174447, 29413.085211883215, -187500.02235174447, 10937.893204437876, -104291.65265460643, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601947808E9, 0.0, 2023-09-30 16:29:20.194
158.0, 40379.52159399052, 18787.5352844638, -187500.02235174447, -187500.02235174447, 29459.57684035025, -187500.02235174447, 11010.93870531782, -104102.95922791472, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601947925E9, 0.0, 2023-09-30 16:29:20.194
159.0, 40357.72864314659, 18806.91424690655, -187500.02235174447, -187500.02235174447, 29464.181299708045, -187500.02235174447, 11006.244838982206, -104079.93693112576, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948032E9, 0.0, 2023-09-30 16:29:20.194
160.0, 40350.88900934327, 18789.636348442596, -187500.02235174447, -187500.02235174447, 29410.62651999313, -187500.02235174447, 10915.49675649366, -104282.82371554658, -0.184, 0.978, -0.01, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6961093601948152E9, 0.0, 2023-09-30 16:29:20.194
161.0, 40390.29513481798, 18794.821953156228, -187500.02235174447, -187500.02235174447, 29406.37968854662, -187500.02235174447, 10921.174099585307, -104272.67602356386, -0.178, 0.966, -0.014, 192.0, 250.0, 112.0, 30.0, 48.0, 255.0, 144.0, 0.0, 0.0, 0.0, 1.6961093601948297E9, 0.0, 2023-09-30 16:29:20.194
