Tiempo (ms)	Antebrazo	Cuello
810	511	509
811	513	510
812	512	508
813	508	508
814	510	507
815	509	505
816	512	508
817	510	511
818	505	510
819	505	511
820	508	510
821	509	511
822	507	512
823	505	513
824	508	512
825	510	511
826	511	509
827	507	509
828	512	506
829	503	506
830	502	503
831	498	506
832	499	504
833	504	509
834	507	512
835	514	515
836	510	509
837	515	510
838	517	508
839	508	510
840	512	508
841	510	510
842	507	513
843	504	510
844	503	508
845	508	506
846	512	505
847	514	505
848	511	508
849	505	510
850	504	511
851	504	510
852	501	510
853	501	510
854	503	512
855	502	512
856	499	512
857	504	511
858	508	510
859	512	509
860	513	508
861	513	509
862	512	508
863	513	507
864	515	509
865	514	510
866	515	512
867	519	511
868	513	510
869	508	511
870	507	506
871	499	505
872	499	504
873	501	505
874	503	508
875	508	512
876	507	509
877	507	512
878	504	511
879	504	510
880	507	507
881	507	506
882	507	508
883	510	511
884	511	505
885	509	508
886	506	511
887	507	513
888	508	510
889	509	508
890	510	509
891	509	508
892	509	510
893	507	512
894	507	510
895	508	509
896	503	512
897	503	513
898	508	510
899	512	504
900	509	507
901	506	510
902	508	511
903	512	510
904	513	508
905	509	505
906	508	506
907	508	506
908	507	513
909	505	510
910	507	512
911	507	512
912	509	509
913	509	508
914	510	507
915	510	507
916	508	506
917	508	508
918	505	508
919	504	508
920	505	508
921	508	512
922	510	512
923	506	513
924	509	511
925	511	509
926	510	508
927	512	508
928	511	510
929	508	511
930	506	510
931	507	508
932	506	507
933	507	506
934	507	508
935	507	507
936	506	508
937	511	508
938	510	507
939	507	508
940	507	511
941	504	510
942	506	507
943	510	504
944	509	507
945	508	506
946	507	508
947	510	511
948	507	513
949	511	512
950	510	513
951	510	513
952	500	515
953	504	511
954	502	509
955	504	510
956	502	512
957	508	509
958	511	506
959	520	509
960	521	507
961	513	507
962	510	506
963	508	504
964	505	508
965	505	510
966	508	509
967	512	505
968	510	507
969	511	505
970	508	507
971	505	505
972	504	508
973	503	508
974	502	510
975	501	514
976	503	513
977	510	511
978	511	511
979	510	508
980	506	507
981	504	510
982	505	511
983	506	509
984	504	508
985	508	508
986	507	512
987	509	508
988	507	508
989	503	509
990	505	508
991	510	507
992	513	506
993	514	507
994	518	507
995	521	506
996	515	508
997	506	510
998	499	508
999	499	508
1000	505	506
1001	507	508
1002	509	510
1003	509	512
1004	508	510
1005	511	509
1006	509	508
1007	506	508
1008	507	510
1009	507	512
1010	508	508
1011	504	507
1012	504	509
1013	502	510
1014	500	510
1015	502	510
1016	502	508
1017	507	512
1018	511	510
1019	512	508
1020	512	508
1021	515	508
1022	516	509
1023	518	513
1024	516	511
1025	512	507
1026	505	510
1027	500	510
1028	503	508
1029	504	510
1030	506	508
1031	502	506
1032	503	510
1033	503	508
1034	504	505
1035	506	505
1036	509	505
1037	516	508
1038	521	507
1039	515	512
1040	510	516
1041	506	515
1042	503	512
1043	508	511
1044	506	509
1045	505	510
1046	505	509
1047	503	508
1048	505	508
1049	504	511
1050	508	510
1051	513	509
1052	508	507
1053	509	508
1054	510	507
1055	508	510
1056	505	509
1057	505	511
1058	507	508
1059	506	508
1060	504	511
1061	507	510
1062	508	512
1063	507	511
1064	509	510
1065	507	506
1066	513	508
1067	510	508
1068	506	509
1069	506	508
1070	505	511
1071	501	510
1072	501	511
1073	510	511
1074	506	511
1075	509	511
1076	508	508
1077	510	507
1078	512	507
1079	508	508
1080	507	509
1081	510	511
1082	505	513
1083	505	515
1084	506	512
1085	506	511
1086	507	507
1087	517	509
1088	514	510
1089	514	509
1090	515	510
1091	513	513
1092	508	506
1093	503	503
1094	503	505
1095	508	507
1096	510	509
1097	507	507
1098	507	505
1099	505	508
1100	508	511
1101	506	514
1102	504	509
1103	507	510
1104	509	508
1105	506	506
1106	505	508
1107	506	511
1108	505	513
1109	505	513
1110	505	512
1111	506	509
1112	505	510
1113	508	511
1114	511	509
1115	510	508
1116	513	510
1117	513	511
1118	511	507
1119	509	507
1120	513	508
1121	509	506
1122	511	508
1123	512	511
1124	511	509
1125	503	510
1126	503	512
1127	505	510
1128	503	511
1129	503	510
1130	505	508
1131	507	512
1132	511	511
1133	509	508
1134	509	504
1135	509	509
1136	506	507
1137	508	505
1138	508	508
1139	508	511
1140	506	512
1141	503	510
1142	506	510
1143	511	509
1144	510	508
1145	511	509
1146	508	512
1147	507	508
1148	505	508
1149	509	509
1150	508	509
